evidence_id,domain,analysis,population,N,events,estimand,effect_type,estimate,lower95,upper95,p_value,secondary_statistic,secondary_value,source_status,source_file,source_row_or_key,script_origin,new_or_original,phase_origin,candidate_manuscript_location,interpretive_role,notes
LANDSCAPE_EICU_M3_24H_AGGREGATE,eICU-CRD analytic-context landscape,EICU_M3_24H_AGGREGATE,locked aggregate frame for M3,7115,130,post-landmark hospital mortality,RR,1.15774790083148,1.0245783161834,1.30822620458402,0.0188003564760549,same_patient_pair,FALSE,LOCKED_RESULT_VERIFIED,controlled_final_lineage/data/controlled_local_only/MIMIC_eICU_derived/results/10_cross_database_results.csv,HARM_eICU-CRD_M3,local_extension_workspace/scripts/phase2b/02_analytic_context_landscape.R,locked_landscape_row,Phase 2B,Candidate Figure 3; eICU_adjustment,Context-family landscape result,"M2-M4 use the final aggregate frame N=7,115/events=130; M4 adds count and span to the locked aggregate context. Event-level glucose reconstruction is unavailable; RR is not interchangeable with MIMIC/INSPIRE HR. Effect type is preserved as HR or RR; no pooling or cross-database heterogeneity test."
LANDSCAPE_EICU_M4_24H_AGGREGATE,eICU-CRD analytic-context landscape,EICU_M4_24H_AGGREGATE,locked aggregate frame for M4,7115,130,post-landmark hospital mortality,RR,1.13279595096984,0.990175899305203,1.29595829128348,0.0693402609606972,same_patient_pair,FALSE,LOCKED_RESULT_VERIFIED,controlled_final_lineage/data/controlled_local_only/MIMIC_eICU_derived/results/10_cross_database_results.csv,HARM_eICU-CRD_M4,local_extension_workspace/scripts/phase2b/02_analytic_context_landscape.R,locked_landscape_row,Phase 2B,Candidate Figure 3; eICU_adjustment,Context-family landscape result,"M2-M4 use the final aggregate frame N=7,115/events=130; M4 adds count and span to the locked aggregate context. Event-level glucose reconstruction is unavailable; RR is not interchangeable with MIMIC/INSPIRE HR. Effect type is preserved as HR or RR; no pooling or cross-database heterogeneity test."
LANDSCAPE_INSPIRE_I1_24H_30D,INSPIRE analytic-context landscape,INSPIRE_I1_24H_30D,final INSPIRE validated frame,1353,27,30-day all-cause mortality after INSPIRE landmark,HR,0.845958459945858,0.634084789153596,1.12862779267934,0.255408313290963,same_patient_pair,FALSE,LOCKED_RESULT_VERIFIED,controlled_final_lineage/results/final_v5_INSPIRE/30d_primary_results_v5.csv,ADMINV5_I1_30d,local_extension_workspace/scripts/phase2b/02_analytic_context_landscape.R,locked_landscape_row,Phase 2B,Candidate Figure 3; INSPIRE_timing_adjustment,Context-family landscape result,Final v5 24-hour timing/adjustment context. Effect type is preserved as HR or RR; no pooling or cross-database heterogeneity test.
LANDSCAPE_INSPIRE_I2_24H_30D,INSPIRE analytic-context landscape,INSPIRE_I2_24H_30D,final INSPIRE validated frame,1353,27,30-day all-cause mortality after INSPIRE landmark,HR,0.904554212678046,0.652561595227856,1.25385607988147,0.547103103354018,same_patient_pair,FALSE,LOCKED_RESULT_VERIFIED,controlled_final_lineage/results/final_v5_INSPIRE/30d_primary_results_v5.csv,ADMINV5_I2_30d,local_extension_workspace/scripts/phase2b/02_analytic_context_landscape.R,locked_landscape_row,Phase 2B,Candidate Figure 3; INSPIRE_timing_adjustment,Context-family landscape result,Final v5 designated 24-hour model. Effect type is preserved as HR or RR; no pooling or cross-database heterogeneity test.
LANDSCAPE_INSPIRE_I2_48H_CORRECTED_30D,INSPIRE analytic-context landscape,INSPIRE_I2_48H_CORRECTED_30D,final INSPIRE validated frame,1511,31,30-day all-cause mortality after INSPIRE landmark,HR,1.10438443373211,0.84649513182544,1.44084110069202,0.464320490701829,same_patient_pair,FALSE,LOCKED_RESULT_VERIFIED,controlled_final_lineage/results/final_v5_INSPIRE/48h_landmark_result_v5.csv,ADMINV5_I2_48h_landmark_30d,local_extension_workspace/scripts/phase2b/02_analytic_context_landscape.R,locked_landscape_row,Phase 2B,Candidate Figure 3; INSPIRE_timing_adjustment,Context-family landscape result,Corrected final v5 48-hour landmark; risk begins at the 48-hour landmark; no withdrawn 365-day result included. Effect type is preserved as HR or RR; no pooling or cross-database heterogeneity test.
LANDSCAPE_INSPIRE_I3_24H_30D,INSPIRE analytic-context landscape,INSPIRE_I3_24H_30D,final INSPIRE validated frame,1353,27,30-day all-cause mortality after INSPIRE landmark,HR,0.928498765858282,0.672393948065706,1.2821500857948,0.652316719011248,same_patient_pair,FALSE,LOCKED_RESULT_VERIFIED,controlled_final_lineage/results/final_v5_INSPIRE/30d_primary_results_v5.csv,ADMINV5_I3_30d,local_extension_workspace/scripts/phase2b/02_analytic_context_landscape.R,locked_landscape_row,Phase 2B,Candidate Figure 3; INSPIRE_timing_adjustment,Context-family landscape result,Final v5 I3 result verified; retained as a locked specification context. Effect type is preserved as HR or RR; no pooling or cross-database heterogeneity test.
LANDSCAPE_MIMIC_ADJUSTMENT_A_30D,MIMIC-IV analytic-context landscape,MIMIC_ADJUSTMENT_A_30D,final MIMIC primary target,10561,296,30-day all-cause mortality after day-1 landmark,HR,1.04716557677007,0.993999407267487,1.10317545177077,0.082992866310105,same_patient_pair,FALSE,LOCKED_RESULT_VERIFIED,locked_analysis_record/results/mice_pooled_models.csv,MICE_A_30d,local_extension_workspace/scripts/phase2b/02_analytic_context_landscape.R,locked_landscape_row,Phase 2B,Candidate Figure 3; MIMIC_adjustment,Context-family landscape result,Locked MIMIC adjustment context; Model C is retained as a sampling-process specification shift from Model B. Effect type is preserved as HR or RR; no pooling or cross-database heterogeneity test.
LANDSCAPE_MIMIC_ADJUSTMENT_B_30D,MIMIC-IV analytic-context landscape,MIMIC_ADJUSTMENT_B_30D,final MIMIC primary target,10561,296,30-day all-cause mortality after day-1 landmark,HR,0.979380602603274,0.922463143248402,1.03980996072952,0.495212797342227,same_patient_pair,FALSE,LOCKED_RESULT_VERIFIED,locked_analysis_record/results/mice_pooled_models.csv,MICE_B_30d,local_extension_workspace/scripts/phase2b/02_analytic_context_landscape.R,locked_landscape_row,Phase 2B,Candidate Figure 3; MIMIC_adjustment,Context-family landscape result,Locked MIMIC adjustment context; Model C is retained as a sampling-process specification shift from Model B. Effect type is preserved as HR or RR; no pooling or cross-database heterogeneity test.
LANDSCAPE_MIMIC_ADJUSTMENT_C_30D,MIMIC-IV analytic-context landscape,MIMIC_ADJUSTMENT_C_30D,final MIMIC primary target,10561,296,30-day all-cause mortality after day-1 landmark,HR,1.02857335963722,0.967085280657172,1.09397090134231,0.370365215072494,same_patient_pair,FALSE,LOCKED_RESULT_VERIFIED,locked_analysis_record/results/mice_pooled_models.csv,MICE_C_30d,local_extension_workspace/scripts/phase2b/02_analytic_context_landscape.R,locked_landscape_row,Phase 2B,Candidate Figure 3; MIMIC_adjustment,Context-family landscape result,Locked MIMIC adjustment context; Model C is retained as a sampling-process specification shift from Model B. Effect type is preserved as HR or RR; no pooling or cross-database heterogeneity test.
LANDSCAPE_MIMIC_SOURCE_BLOOD_GAS_ONLY_30D,MIMIC-IV analytic-context landscape,MIMIC_SOURCE_BLOOD_GAS_ONLY_30D,blood-gas-only series,9431,156,30-day all-cause mortality after day-1 landmark,HR,1.05716421806268,0.968110482047594,1.15440975454403,0.215667194991528,same_patient_pair,FALSE,LOCKED_RESULT_VERIFIED,locked_analysis_record/results/measurement_source_results.csv,SRC_bloodgas_30d,local_extension_workspace/scripts/phase2b/02_analytic_context_landscape.R,locked_landscape_row,Phase 2B,Candidate Figure 3; MIMIC_source,Context-family landscape result,Source-specific final priority-derived series; not a same-patient paired estimate. Effect type is preserved as HR or RR; no pooling or cross-database heterogeneity test.
LANDSCAPE_MIMIC_SOURCE_CENTRAL_LAB_ONLY_30D,MIMIC-IV analytic-context landscape,MIMIC_SOURCE_CENTRAL_LAB_ONLY_30D,central-laboratory-only series,826,129,30-day all-cause mortality after day-1 landmark,HR,0.978541851084597,0.93331334191476,1.02596214081714,0.368967843358077,same_patient_pair,FALSE,LOCKED_RESULT_VERIFIED,locked_analysis_record/results/measurement_source_results.csv,SRC_centrallab_30d,local_extension_workspace/scripts/phase2b/02_analytic_context_landscape.R,locked_landscape_row,Phase 2B,Candidate Figure 3; MIMIC_source,Context-family landscape result,Source-specific final priority-derived series; not a same-patient paired estimate. Effect type is preserved as HR or RR; no pooling or cross-database heterogeneity test.
LANDSCAPE_MIMIC_SOURCE_COMMON_30D,MIMIC-IV analytic-context landscape,MIMIC_SOURCE_COMMON_30D,common-source (POCT + central lab) series,8355,202,30-day all-cause mortality after day-1 landmark,HR,0.977529963550784,0.922998607659253,1.03528306728754,0.437754631449901,same_patient_pair,FALSE,LOCKED_RESULT_VERIFIED,locked_analysis_record/results/measurement_source_results.csv,SRC_common_30d,local_extension_workspace/scripts/phase2b/02_analytic_context_landscape.R,locked_landscape_row,Phase 2B,Candidate Figure 3; MIMIC_source,Context-family landscape result,Common-source series; cohort differs from the same-patient comparison cohort. Effect type is preserved as HR or RR; no pooling or cross-database heterogeneity test.
LANDSCAPE_MIMIC_SOURCE_POCT_ONLY_30D,MIMIC-IV analytic-context landscape,MIMIC_SOURCE_POCT_ONLY_30D,POCT-only series,7602,107,30-day all-cause mortality after day-1 landmark,HR,0.82683816001862,0.740075506230323,0.923772422013129,0.000774320735174024,same_patient_pair,FALSE,LOCKED_RESULT_VERIFIED,locked_analysis_record/results/measurement_source_results.csv,SRC_poct_30d,local_extension_workspace/scripts/phase2b/02_analytic_context_landscape.R,locked_landscape_row,Phase 2B,Candidate Figure 3; MIMIC_source,Context-family landscape result,Source-specific final priority-derived series; not a same-patient paired estimate. Effect type is preserved as HR or RR; no pooling or cross-database heterogeneity test.
LANDSCAPE_MIMIC_SOURCE_PRIORITY_30D,MIMIC-IV analytic-context landscape,MIMIC_SOURCE_PRIORITY_30D,final MIMIC primary target,10561,296,30-day all-cause mortality after day-1 landmark,HR,0.979380602603274,0.922463143248402,1.03980996072952,0.495212797342227,same_patient_pair,FALSE,LOCKED_RESULT_VERIFIED,locked_analysis_record/results/mice_pooled_models.csv,MICE_B_30d,local_extension_workspace/scripts/phase2b/02_analytic_context_landscape.R,locked_landscape_row,Phase 2B,Candidate Figure 3; MIMIC_source,Context-family landscape result,Primary priority-series estimate; included in the source-context family to anchor source comparisons. Effect type is preserved as HR or RR; no pooling or cross-database heterogeneity test.
LANDSCAPE_MIMIC_SOURCE_SAME_PATIENT_LAB_30D,MIMIC-IV analytic-context landscape,MIMIC_SOURCE_SAME_PATIENT_LAB_30D,"same patients (N=409), LAB-derived GV",409,49,30-day all-cause mortality after day-1 landmark,HR,0.970897006154936,0.910334291034253,1.03548883728159,0.368784459152182,same_patient_pair,TRUE,LOCKED_RESULT_REPRODUCED_PHASE2A,locked_analysis_record/results/measurement_source_results.csv,SRC_samepatient_lab_30d,local_extension_workspace/scripts/phase2b/02_analytic_context_landscape.R,locked_landscape_row,Phase 2B,Candidate Figure 3; MIMIC_source,Context-family landscape result,"Identical 409 patients and 49 events as the same-patient POCT row; source-definition coefficient difference is descriptive, not causal. Effect type is preserved as HR or RR; no pooling or cross-database heterogeneity test."
LANDSCAPE_MIMIC_SOURCE_SAME_PATIENT_POCT_30D,MIMIC-IV analytic-context landscape,MIMIC_SOURCE_SAME_PATIENT_POCT_30D,"same patients (N=409), POCT-derived GV",409,49,30-day all-cause mortality after day-1 landmark,HR,0.758857245048576,0.638761960045579,0.90153195459796,0.00169381122418289,same_patient_pair,TRUE,LOCKED_RESULT_REPRODUCED_PHASE2A,locked_analysis_record/results/measurement_source_results.csv,SRC_samepatient_poct_30d,local_extension_workspace/scripts/phase2b/02_analytic_context_landscape.R,locked_landscape_row,Phase 2B,Candidate Figure 3; MIMIC_source,Context-family landscape result,"Identical 409 patients and 49 events as the same-patient laboratory row; source-definition coefficient difference is descriptive, not causal. Effect type is preserved as HR or RR; no pooling or cross-database heterogeneity test."
MIMIC_MEAN_GLUCOSE,MIMIC measurement context,Final source-priority mean glucose,final MIMIC primary target,10561,296,descriptive final-lineage measurement context,descriptive context statistic,141.419757056312,NA,NA,NA,units,mg/dL,LOCKED_CONTEXT_SUMMARY,local_extension_workspace/outputs/qc/final_reconstruction_summary.json,mimic.mean_glucose_mean,local_extension_workspace/scripts/03_final_lineage_qc.py,original_final_lineage,Phase 1.6,Methods; Results,Concurrent glucose context,Mean glucose is retained to define the conditioning context for Model B.
MIMIC_MEAN_GV,MIMIC measurement context,Final source-priority GV mean,final MIMIC primary target,10561,296,descriptive final-lineage measurement context,descriptive context statistic,28.8415695703337,NA,NA,NA,units,mg/dL; sample SD-derived GV,LOCKED_CONTEXT_SUMMARY,local_extension_workspace/outputs/qc/final_reconstruction_summary.json,mimic.gv_mean,local_extension_workspace/scripts/03_final_lineage_qc.py,original_final_lineage,Phase 1.6,Methods; Results,Primary GV scale context,"Mean GV is a descriptive feature summary, not an external reference value."
MIMIC_MEASUREMENT_COUNT_MEDIAN,MIMIC measurement context,Routine-care measurement count,final MIMIC primary target,10561,296,descriptive final-lineage measurement context,descriptive context statistic,12,NA,NA,NA,Q1;Q3,1e+01;1.4e+01,LOCKED_CONTEXT_SUMMARY,local_extension_workspace/outputs/qc/final_reconstruction_summary.json,mimic.count_median;mimic.count_q1;mimic.count_q3,local_extension_workspace/scripts/03_final_lineage_qc.py,original_final_lineage,Phase 1.6,Methods; Results,Sampling opportunity context,Median and IQR of retained source-priority measurements; descriptive only.
MIMIC_MEASUREMENT_SPAN_MEDIAN,MIMIC measurement context,Routine-care measurement span,final MIMIC primary target,10561,296,descriptive final-lineage measurement context,descriptive context statistic,14.8333333333333,NA,NA,NA,Q1;Q3,1.2366666666666699e+01;1.5866666666666699e+01,LOCKED_CONTEXT_SUMMARY,local_extension_workspace/outputs/qc/final_reconstruction_summary.json,mimic.span_median;mimic.span_q1;mimic.span_q3,local_extension_workspace/scripts/03_final_lineage_qc.py,original_final_lineage,Phase 1.6,Methods; Results,Sampling opportunity context,Median and IQR of retained source-priority span in hours; descriptive only.
MIMIC_MODEL_A_30D,MIMIC adjustment context,MIMIC Model A 30-day,final MIMIC primary target,10561,296,MIMIC day-1 landmark mortality by 30-day,HR per 10 mg/dL GV,1.04716557677007,0.993999407267487,1.10317545177077,0.082992866310105,n_imputations_fit,5e+01,LOCKED_RESULT_VERIFIED,locked_analysis_record/results/mice_pooled_models.csv,model_id=MICE_A_30d,original_public_code/analyses/03_primary_mimic/03_run_primary_models_mice.R,original_final_lineage,Phase 1.6,Results; MIMIC adjustment context,Main adjustment context,Per 10 mg/dL SD-GV coefficient; source row is the locked final-lineage result. Observational association; no causal interpretation.
MIMIC_MODEL_A_365D,MIMIC adjustment context,MIMIC Model A 365-day,final MIMIC primary target,10561,745,MIMIC day-1 landmark mortality by 365-day,HR per 10 mg/dL GV,1.03681781019598,0.996597681302404,1.07866112043802,0.0732721054744857,n_imputations_fit,5e+01,LOCKED_RESULT_VERIFIED,locked_analysis_record/results/mice_pooled_models.csv,model_id=MICE_A_365d,original_public_code/analyses/03_primary_mimic/03_run_primary_models_mice.R,original_final_lineage,Phase 1.6,Supplement; MIMIC 365-day audit,Supplementary time-horizon context,Per 10 mg/dL SD-GV coefficient; source row is the locked final-lineage result. Observational association; no causal interpretation.
MIMIC_MODEL_B_30D,MIMIC adjustment context,MIMIC Model B 30-day,final MIMIC primary target,10561,296,MIMIC day-1 landmark mortality by 30-day,HR per 10 mg/dL GV,0.979380602603274,0.922463143248402,1.03980996072952,0.495212797342227,n_imputations_fit,5e+01,LOCKED_RESULT_VERIFIED,locked_analysis_record/results/mice_pooled_models.csv,model_id=MICE_B_30d,original_public_code/analyses/03_primary_mimic/03_run_primary_models_mice.R,original_final_lineage,Phase 1.6,Results; primary MIMIC estimate,Primary locked MIMIC estimate,Per 10 mg/dL SD-GV coefficient; source row is the locked final-lineage result. Observational association; no causal interpretation.
MIMIC_MODEL_B_365D,MIMIC adjustment context,MIMIC Model B 365-day,final MIMIC primary target,10561,745,MIMIC day-1 landmark mortality by 365-day,HR per 10 mg/dL GV,0.984980806440375,0.941995873075158,1.02992721814029,0.506233214092268,n_imputations_fit,5e+01,LOCKED_RESULT_VERIFIED,locked_analysis_record/results/mice_pooled_models.csv,model_id=MICE_B_365d,original_public_code/analyses/03_primary_mimic/03_run_primary_models_mice.R,original_final_lineage,Phase 1.6,Supplement; MIMIC 365-day audit,Descriptive average under documented PH violation,365-day Model B is not a primary effect: the final manuscript provenance documents non-proportional hazards; retain only as a prespecified descriptive average.
MIMIC_MODEL_C_30D,MIMIC adjustment context,MIMIC Model C 30-day,final MIMIC primary target,10561,296,MIMIC day-1 landmark mortality by 30-day,HR per 10 mg/dL GV,1.02857335963722,0.967085280657172,1.09397090134231,0.370365215072494,n_imputations_fit,5e+01,LOCKED_RESULT_VERIFIED,locked_analysis_record/results/mice_pooled_models.csv,model_id=MICE_C_30d,original_public_code/analyses/03_primary_mimic/03_run_primary_models_mice.R,original_final_lineage,Phase 1.6,Results; MIMIC adjustment context,Measurement-process specification shift,Per 10 mg/dL SD-GV coefficient; source row is the locked final-lineage result. Observational association; no causal interpretation.
MIMIC_MODEL_C_365D,MIMIC adjustment context,MIMIC Model C 365-day,final MIMIC primary target,10561,745,MIMIC day-1 landmark mortality by 365-day,HR per 10 mg/dL GV,1.02429663298563,0.979398088825929,1.07125346099402,0.293853267364968,n_imputations_fit,5e+01,LOCKED_RESULT_VERIFIED,locked_analysis_record/results/mice_pooled_models.csv,model_id=MICE_C_365d,original_public_code/analyses/03_primary_mimic/03_run_primary_models_mice.R,original_final_lineage,Phase 1.6,Supplement; MIMIC 365-day audit,Supplementary time-horizon context,365-day Model C is retained only as a descriptive specification sensitivity under the documented PH limitation.
MIMIC_PRIMARY_COHORT_30D,MIMIC cohort context,Final MIMIC primary cohort,final MIMIC primary target,10561,296,day-1 landmark cohort size and 30-day events,cohort N/events,10561,NA,NA,NA,events,2.96e+02,LOCKED_CONTEXT_SUMMARY,local_extension_workspace/outputs/qc/final_reconstruction_summary.json,mimic.target_n; mimic.events_30d,local_extension_workspace/scripts/03_final_lineage_qc.py,original_final_lineage,Phase 1.6,Methods; Results,Cohort denominator,N and 30-day event count are fixed lineage facts.
MIMIC_PRIMARY_COHORT_365D,MIMIC cohort context,Final MIMIC primary cohort,final MIMIC primary target,10561,745,day-1 landmark cohort size and 365-day events,cohort N/events,10561,NA,NA,NA,events,7.45e+02,LOCKED_CONTEXT_SUMMARY,local_extension_workspace/outputs/qc/final_reconstruction_summary.json,mimic.target_n; mimic.events_365d,local_extension_workspace/scripts/03_final_lineage_qc.py,original_final_lineage,Phase 1.6,Supplement; MIMIC 365-day audit,Cohort denominator,365-day event count is retained for the time-horizon audit only.
MIMIC_SAMEPATIENT_LAB_HR,MIMIC measurement-source context,Final source-defined GV: same-patient laboratory,"same patients (N=409), LAB-derived GV",409,49,30-day mortality after day-1 landmark,HR per 10 mg/dL GV,0.970897006154936,0.910334291034253,1.03548883728159,0.368784459152182,gv_sd_within,3.7268739280552403e+01,LOCKED_RESULT_REPRODUCED_PHASE2A,locked_analysis_record/results/measurement_source_results.csv,model_id=SRC_samepatient_lab_30d,original_public_code/analyses/05_source_sensitivity/02_fit_source_models.R,original_final_lineage_verified_phase2a,Phase 1.6 + Phase 2A,Results; Figure 2,Identical-patient source comparison,Same N=409 and 49 events as the POCT row; source is not a reference standard.
MIMIC_SAMEPATIENT_POCT_HR,MIMIC measurement-source context,Final source-defined GV: same-patient POCT,"same patients (N=409), POCT-derived GV",409,49,30-day mortality after day-1 landmark,HR per 10 mg/dL GV,0.758857245048576,0.638761960045579,0.90153195459796,0.00169381122418289,gv_sd_within,2.15723878173022e+01,LOCKED_RESULT_REPRODUCED_PHASE2A,locked_analysis_record/results/measurement_source_results.csv,model_id=SRC_samepatient_poct_30d,original_public_code/analyses/05_source_sensitivity/02_fit_source_models.R,original_final_lineage_verified_phase2a,Phase 1.6 + Phase 2A,Results; Figure 2,Identical-patient source comparison,Same N=409 and 49 events as the laboratory row; source is not a reference standard.
MIMIC_SOURCE_BLOOD_GAS_ONLY_30D,MIMIC measurement-source context,Final source-defined GV: blood-gas-only,blood-gas-only series,9431,156,30-day mortality after day-1 landmark,HR per 10 mg/dL GV,1.05716421806268,0.968110482047594,1.15440975454403,0.215667194991528,gv_sd_within,1.3134354245066e+01,LOCKED_RESULT_VERIFIED,locked_analysis_record/results/measurement_source_results.csv,model_id=SRC_bloodgas_30d,original_public_code/analyses/05_source_sensitivity/02_fit_source_models.R,original_final_lineage,Phase 1.6,Results; Figure 2,Source-specific context,Source-specific cohort; not a same-patient paired comparison.
