source_path_id,repository_path,action,provenance,include,notes
private-source-037,analyses/09_quality_control/03_frame_registry.R,migrate,paths_only,yes,OK
private-source-038,analyses/04_time_dependent/02_figures_framefix.R,migrate,paths_only,yes,OK
private-source-039,analyses/04_time_dependent/03_figures_fixedscale.R,migrate,paths_only,yes,OK
private-source-040,analyses/04_time_dependent/04_rcs_curves.R,migrate,paths_only,yes,OK
private-source-041,analyses/03_primary_mimic/supplement/06_fixed_scale_constants.py,migrate,paths_only,yes,OK
private-source-042,analyses/03_primary_mimic/supplement/07_fixed_scale_rescale.py,migrate,paths_only,yes,OK
private-source-043,analyses/03_primary_mimic/supplement/08_fixed_scale_display.py,migrate,paths_only,yes,OK
private-source-044,analyses/02_glucose_processing/02_build_bloodonly_features.py,migrate,paths_only,yes,OK
private-source-045,analyses/06_inspire/01_import_tables.sh,migrate,paths_only,yes,OK
private-source-046,sql/inspire/00_create_database.sql,migrate,paths_only,yes,OK
private-source-047,sql/inspire/02_indexes.sql,migrate,paths_only,yes,OK
private-source-048,sql/inspire/03_schema_audit.sql,migrate,paths_only,yes,OK
private-source-049,sql/inspire/04_procedure_audit.sql,migrate,paths_only,yes,OK
private-source-050,sql/inspire/05_lab_audit.sql,migrate,paths_only,yes,OK
private-source-051,sql/inspire/06_cohort_build.sql,migrate,paths_only,yes,OK
private-source-052,sql/inspire/07_glucose_features.sql,migrate,paths_only,yes,OK
private-source-053,sql/inspire/08_analysis_base.sql,migrate,paths_only,yes,OK
private-source-054,sql/inspire/09_comorbidity_outcome_audit.sql,migrate,paths_only,yes,OK
private-source-055,sql/inspire/10_anchor_windows.sql,migrate,paths_only,yes,OK
private-source-056,sql/inspire/11_qc_tests.sql,migrate,paths_only,yes,OK
private-source-057,analyses/06_inspire/02_outcome_time_repairs.R,migrate,paths_only,yes,OK
private-source-058,analyses/06_inspire/03_sensitivity_joint_repairs.R,migrate,paths_only,yes,OK
private-source-059,analyses/06_inspire/04_final_models_v3.R,migrate,paths_only,yes,OK
private-source-060,analyses/06_inspire/05_qc_assembly.py,migrate,paths_only,yes,OK
private-source-061,sql/eicu/01_schema_audit.sql,migrate,paths_only,yes,OK
private-source-062,sql/eicu/01b_categorical_audit.sql,migrate,paths_only,yes,OK
private-source-063,sql/eicu/02_candidate_terms_extract.sql,migrate,paths_only,yes,OK
private-source-064,sql/eicu/02b_classify_terms.sql,migrate,paths_only,yes,OK
private-source-065,sql/eicu/02c_classify_terms_v2.sql,migrate,paths_only,yes,OK
private-source-066,sql/eicu/02d_export_terms.sql,migrate,paths_only,yes,OK
private-source-067,sql/eicu/03_surgery_evidence.sql,migrate,paths_only,yes,OK
private-source-068,sql/eicu/04_cohort_base.sql,migrate,paths_only,yes,OK
private-source-069,sql/eicu/06a_glucose.sql,migrate,paths_only,yes,OK
private-source-070,sql/eicu/06b_covariates.sql,migrate,paths_only,yes,OK
private-source-071,sql/eicu/06c_outcomes_hba1c.sql,migrate,paths_only,yes,OK
private-source-072,sql/eicu/07_qc.sql,migrate,paths_only,yes,OK
private-source-073,sql/eicu/08_final_table.sql,migrate,paths_only,yes,OK
private-source-074,sql/eicu/09_harmonized.sql,migrate,paths_only,yes,OK
private-source-075,analyses/07_eicu/02_harmonized_mimic_features.py,migrate,paths_only,yes,OK
private-source-076,analyses/07_eicu/03_harmonized_mimic_model_data.py,migrate,paths_only,yes,OK
private-source-077,analyses/07_eicu/04_models.R,migrate,paths_only,yes,OK
private-source-078,analyses/07_eicu/05_tables_figures.R,migrate,paths_only,yes,OK
private-source-079,analyses/07_eicu/06_qc.R,migrate,paths_only,yes,OK
private-source-080,archive/not_used_in_final_analysis/mimic_03_primary_models_superseded_by_03b.R,archive,paths_only,archive,OK
private-source-081,archive/not_used_in_final_analysis/inspire_11_superseded_by_15_16_17.R,archive,paths_only,archive,OK
private-source-082,archive/not_used_in_final_analysis/inspire_12_superseded_by_16.R,archive,paths_only,archive,OK
private-source-083,archive/not_used_in_final_analysis/inspire_13_superseded_by_16.R,archive,paths_only,archive,OK
private-source-084,analyses/01_cohort_construction/03_apply_bmi_plausibility.py,migrate,config_driven_rewrite_same_logic,yes,"OK; rerun 2026-08-01: output sha256=2163168d… byte-identical to frozen AoR frame; 35 rows set missing"
private-source-085,analyses/03_primary_mimic/03_run_primary_models_mice.R,verify_existing,none(already migrated from rebuild; AoR script identical except ROOT),yes,"VERIFIED: diff vs rebuild original = ROOT line only; repo rerun 2026-08-01 outputs byte-identical to AoR (0.9794/0.9850)"
private-source-086,analyses/06_inspire/05_uniform_admin_censoring_v5.R,migrate,paths_only,yes,"OK; rerun 2026-08-01: 30d/48h/absrisk/sensitivity/QC outputs byte-identical to v5 package (0.9046/1.1044)"
private-source-087,analyses/03_primary_mimic/ + 08_shr_component/ + 09_quality_control/ 同名既有迁移脚本,verify_reference,repo equivalents migrated from rebuild lineage; AoR run used same code on repaired frame,yes,"VERIFIED_REFERENCE: AoR 下游结果位于 bmi_repair_work rerun_root/results;分块变体(04a-c/10_*/22_*)为运行期拆分,不重复迁移"
private-source-088,analyses/04_time_dependent/05_mice_pooled_interval_models.R,migrate,paths_only,yes,"OK; generating script migrated and rerun 2026-08-01; interval, log-time, and corrected 30-day estimates match frozen values"
private-source-089,analyses/04_time_dependent/05_mice_pooled_interval_models.R,migrate,paths_only,yes,"OK; rerun 2026-08-01: 区间 1.0629/0.9739/0.9379 与 logtime 0.9662 全等冻结值;sanity 复现 0.979381/0.984981"
private-source-090,analyses/04_time_dependent/09_covariate_tt_sensitivity.R,migrate,paths_only,yes,"OK; rerun 2026-08-01 后台任务内"
private-source-091,analyses/07_eicu/07_random_intercept_rerun.R,migrate,paths_only,yes,"OK; rerun: OR 1.167435 (1.035586-1.316069) P=0.01134461,与 phase1 字节一致"
private-source-092,analyses/09_quality_control/figure_build/build_main_figures.py,migrate,paths_only,yes,"OK; 重生成 Main F1-F5 + INSPIRE S 图(内容一致,渲染随环境)"
private-source-093,analyses/09_quality_control/figure_build/build_fig23_main_figures.py,migrate,paths_only+strip daimon_runtime,yes,"OK; 重生成 F2/F3(投稿包 F2/F3 即此脚本产物,md5 已证)"
private-source-094,analyses/09_quality_control/figure_build/build_ph_audit_figure.py,migrate,paths_only+strip daimon_runtime,yes,"OK; 重生成 figS5_ph_audit.png"
private-source-095,analyses/09_quality_control/figure_build/build_supplement_figures.py,migrate,paths_only+strip daimon_runtime,yes,"OK; 重生成 S6/S7(旧)/S11(旧)/S12(旧) 图版"
private-source-096,analyses/09_quality_control/figure_build/merge_s1_mice_figure.py,new,—,yes,"OK; 由 mice_trace/mice_density 合成 figS1_mice_merged_vertical.png"
private-source-097,archive(未迁移),not_migrated,—,no,"01b 为弃用并行尝试;01c-01e 为同一输出的可恢复分块路径,01 主脚本已覆盖其产物,不重复迁移"
